=== MPP RUN START: MultiQueue (relaxed concurrent priority queue) ===
java.version = 17.0.18, availableProcessors = 16
durationMs = 1500, repeats = 3
--- correctness ---
Gate 1 (numQueues=1 exact ordering): PASS
Gate 2 (concurrent multiset preservation): PASS
Gate 3 (WINNER multiset preservation): PASS
===CSV_BEGIN===
experiment,strategy,workload,d,c,threads,syncPeriod,ringSize,throughput_ops,lockFailPct,rank_mean,rank_p99,rank_max,rank_count
part1,UNIFORM,UNIFORM,2,2,4,never,0,0,0.000,5.73,50,179,150020
part1,UNIFORM,MONOTONE,2,2,4,never,0,0,0.000,2.19,64,389,150022
part1,UNIFORM,SKEWED,2,2,4,never,0,0,0.000,27.47,585,849,150128
part2,UNIFORM,UNIFORM,1,2,8,never,0,28364757,23.775,128.10,1956,4758,150094
part2,UNIFORM,UNIFORM,2,2,8,never,0,25090773,25.145,11.85,84,240,150076
part2,UNIFORM,UNIFORM,4,2,8,never,0,22903210,34.615,4.12,24,86,149979
part2,UNIFORM,UNIFORM,8,2,8,never,0,19336448,53.991,1.64,10,36,150063
part2,UNIFORM,SKEWED,1,2,8,never,0,25997994,21.548,1798.18,9062,10699,148128
part2,UNIFORM,SKEWED,2,2,8,never,0,24049024,25.602,40.00,627,917,150050
part2,UNIFORM,SKEWED,4,2,8,never,0,22423424,34.497,4.21,24,80,149898
part2,UNIFORM,SKEWED,8,2,8,never,0,19347285,54.636,1.65,10,30,149914
part3q,UNIFORM,UNIFORM,2,2,8,never,0,0,0.000,11.83,85,241,150082
part3q,STALE,UNIFORM,2,2,8,never,0,0,0.000,8.51,65,219,150028
part3q,WINNER,UNIFORM,2,2,8,never,1,0,0.000,13.69,79,234,150007
part3q,WINNER,UNIFORM,2,2,8,never,4,0,0.000,15.11,89,254,149877
part3q,WINNER,UNIFORM,2,2,8,8,4,0,0.000,14.44,87,240,149941
part3q,UNIFORM,MONOTONE,2,2,8,never,0,0,0.000,4.54,117,661,149952
part3q,STALE,MONOTONE,2,2,8,never,0,0,0.000,4.46,116,650,149997
part3q,WINNER,MONOTONE,2,2,8,never,1,0,0.000,0.77,19,515,149982
part3q,WINNER,MONOTONE,2,2,8,never,4,0,0.000,1.17,35,576,149957
part3q,WINNER,MONOTONE,2,2,8,8,4,0,0.000,1.68,50,555,150124
part3q,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,37.12,593,904,149998
part3q,STALE,SKEWED,2,2,8,never,0,0,0.000,30.17,528,799,150033
part3q,WINNER,SKEWED,2,2,8,never,1,0,0.000,13.77,80,219,150136
part3q,WINNER,SKEWED,2,2,8,never,4,0,0.000,15.32,91,270,150013
part3q,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.78,93,246,150091
part3q,UNIFORM,SKEWED,3,2,8,never,0,0,0.000,6.44,39,120,150109
part3q,UNIFORM,SKEWED,4,2,8,never,0,0,0.000,4.19,24,80,150091
part3eps,WINNER,SKEWED,2,2,8,never,4,26992768,20.239,15.32,90,258,150140
part3eps,WINNER,SKEWED,2,2,8,16,4,26582442,20.768,15.05,91,270,150093
part3eps,WINNER,SKEWED,2,2,8,8,4,28071424,20.520,14.68,90,270,150111
part3eps,WINNER,SKEWED,2,2,8,4,4,28247125,21.101,14.36,94,261,149996
part3thr,UNIFORM,SKEWED,2,2,8,never,0,23430058,24.726,0.00,0,0,0
part3thr,STALE,SKEWED,2,2,8,never,0,25759872,23.549,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,never,4,29644672,20.374,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,8,4,27356074,20.816,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,never,0,25398016,23.487,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,64,0,25694720,23.179,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,1,0,3714986,5.227,0.00,0,0,0
part3cq,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,27.44,344,550,100143
part3cq,STALE,SKEWED,2,2,8,never,0,0,0.000,25.83,349,540,99955
part3cq,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.73,88,235,99757
scale,StrictPQ,UNIFORM,0,0,1,0,0,41273984,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,1,never,0,28986880,0.000,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,2,0,0,12421418,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,2,never,0,20504277,11.725,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,4,0,0,25209429,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,4,never,0,29118208,18.073,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,8,0,0,24586069,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,8,never,0,24651434,26.181,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,16,0,0,23662848,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,16,never,0,36895445,25.661,0.00,0,0,0
===CSV_END===
=== MPP RUN COMPLETE ===
