=== MPP RUN START: MultiQueue (relaxed concurrent priority queue) ===
java.version = 17.0.18, availableProcessors = 16
durationMs = 300, repeats = 1
--- correctness ---
Gate 1 (numQueues=1 exact ordering): PASS
Gate 2 (concurrent multiset preservation): PASS
Gate 3 (WINNER multiset preservation): PASS
===CSV_BEGIN===
experiment,strategy,workload,d,c,threads,syncPeriod,ringSize,throughput_ops,lockFailPct,rank_mean,rank_p99,rank_max,rank_count
part1,UNIFORM,UNIFORM,2,2,4,never,0,0,0.000,5.63,47,146,150034
part1,UNIFORM,MONOTONE,2,2,4,never,0,0,0.000,2.18,64,398,149996
part1,UNIFORM,SKEWED,2,2,4,never,0,0,0.000,31.80,657,974,149927
part2,UNIFORM,UNIFORM,1,2,8,never,0,23465600,23.175,129.01,2064,4676,149879
part2,UNIFORM,UNIFORM,2,2,8,never,0,22356266,24.683,11.93,86,258,149914
part2,UNIFORM,UNIFORM,4,2,8,never,0,21365760,34.756,4.13,24,89,149894
part2,UNIFORM,UNIFORM,8,2,8,never,0,17935786,54.991,1.64,10,32,149982
part2,UNIFORM,SKEWED,1,2,8,never,0,24786773,21.455,1707.91,8802,10556,148043
part2,UNIFORM,SKEWED,2,2,8,never,0,22868053,25.821,35.92,568,830,150148
part2,UNIFORM,SKEWED,4,2,8,never,0,19339093,32.285,4.21,24,88,149956
part2,UNIFORM,SKEWED,8,2,8,never,0,16378240,52.050,1.64,10,35,149972
part3q,UNIFORM,UNIFORM,2,2,8,never,0,0,0.000,11.87,85,246,149932
part3q,STALE,UNIFORM,2,2,8,never,0,0,0.000,8.56,65,207,149845
part3q,WINNER,UNIFORM,2,2,8,never,1,0,0.000,13.77,81,227,149965
part3q,WINNER,UNIFORM,2,2,8,never,4,0,0.000,15.13,90,254,150065
part3q,WINNER,UNIFORM,2,2,8,8,4,0,0.000,14.33,86,242,149864
part3q,UNIFORM,MONOTONE,2,2,8,never,0,0,0.000,4.75,123,697,150077
part3q,STALE,MONOTONE,2,2,8,never,0,0,0.000,4.33,114,659,149937
part3q,WINNER,MONOTONE,2,2,8,never,1,0,0.000,0.79,21,580,149979
part3q,WINNER,MONOTONE,2,2,8,never,4,0,0.000,1.12,34,539,149803
part3q,WINNER,MONOTONE,2,2,8,8,4,0,0.000,1.68,52,553,150174
part3q,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,35.64,566,852,149987
part3q,STALE,SKEWED,2,2,8,never,0,0,0.000,31.40,564,876,149748
part3q,WINNER,SKEWED,2,2,8,never,1,0,0.000,13.71,80,248,150085
part3q,WINNER,SKEWED,2,2,8,never,4,0,0.000,15.37,91,246,150017
part3q,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.76,92,255,149968
part3q,UNIFORM,SKEWED,3,2,8,never,0,0,0.000,6.42,39,122,149957
part3q,UNIFORM,SKEWED,4,2,8,never,0,0,0.000,4.20,24,89,149931
part3eps,WINNER,SKEWED,2,2,8,never,4,26162560,20.023,15.26,90,257,150120
part3eps,WINNER,SKEWED,2,2,8,16,4,24480853,20.992,14.99,92,253,150192
part3eps,WINNER,SKEWED,2,2,8,8,4,23923200,21.525,14.72,91,264,149832
part3eps,WINNER,SKEWED,2,2,8,4,4,23651840,21.287,14.35,94,256,149836
part3thr,UNIFORM,SKEWED,2,2,8,never,0,23369386,25.615,0.00,0,0,0
part3thr,STALE,SKEWED,2,2,8,never,0,25474560,23.443,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,never,4,28918186,19.288,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,8,4,25196160,21.015,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,never,0,23223466,23.709,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,64,0,23570346,21.762,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,1,0,3426986,4.123,0.00,0,0,0
part3cq,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,29.14,402,591,100026
part3cq,STALE,SKEWED,2,2,8,never,0,0,0.000,25.06,360,515,100051
part3cq,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.75,87,224,99838
scale,StrictPQ,UNIFORM,0,0,1,0,0,38458026,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,1,never,0,27307733,0.000,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,2,0,0,12982400,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,2,never,0,14800426,11.766,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,4,0,0,22762026,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,4,never,0,18220586,20.032,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,8,0,0,23444693,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,8,never,0,22534400,25.653,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,16,0,0,21942826,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,16,never,0,35963520,25.677,0.00,0,0,0
===CSV_END===
=== MPP RUN COMPLETE ===
