experiment,strategy,workload,d,c,threads,syncPeriod,ringSize,throughput_ops,lockFailPct,rank_mean,rank_p99,rank_max,rank_count
part1,UNIFORM,UNIFORM,2,2,4,never,0,0,0.000,5.62,47,157,150045
part1,UNIFORM,MONOTONE,2,2,4,never,0,0,0.000,2.25,66,404,149857
part1,UNIFORM,SKEWED,2,2,4,never,0,0,0.000,27.56,584,883,149993
part2,UNIFORM,UNIFORM,1,2,8,never,0,14829013,24.709,125.54,1975,4374,150012
part2,UNIFORM,UNIFORM,2,2,8,never,0,13099306,26.364,11.82,84,241,150054
part2,UNIFORM,UNIFORM,4,2,8,never,0,11170802,34.968,4.13,24,81,149980
part2,UNIFORM,UNIFORM,8,2,8,never,0,9238272,52.542,1.64,10,33,150020
part2,UNIFORM,SKEWED,1,2,8,never,0,14802830,23.874,1756.46,8942,10627,148035
part2,UNIFORM,SKEWED,2,2,8,never,0,13014712,26.665,35.62,570,887,149965
part2,UNIFORM,SKEWED,4,2,8,never,0,11371690,35.688,4.19,24,84,150024
part2,UNIFORM,SKEWED,8,2,8,never,0,9332551,51.314,1.65,10,32,150057
part3q,UNIFORM,UNIFORM,2,2,8,never,0,0,0.000,11.88,86,255,150029
part3q,STALE,UNIFORM,2,2,8,never,0,0,0.000,8.54,65,205,150051
part3q,WINNER,UNIFORM,2,2,8,never,1,0,0.000,13.74,80,227,150030
part3q,WINNER,UNIFORM,2,2,8,never,4,0,0.000,15.12,89,259,149947
part3q,WINNER,UNIFORM,2,2,8,8,4,0,0.000,14.44,88,249,149883
part3q,UNIFORM,MONOTONE,2,2,8,never,0,0,0.000,4.74,122,647,150015
part3q,STALE,MONOTONE,2,2,8,never,0,0,0.000,4.35,114,653,149949
part3q,WINNER,MONOTONE,2,2,8,never,1,0,0.000,0.78,19,545,149974
part3q,WINNER,MONOTONE,2,2,8,never,4,0,0.000,1.18,35,533,150013
part3q,WINNER,MONOTONE,2,2,8,8,4,0,0.000,1.68,51,560,149967
part3q,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,37.78,615,906,150027
part3q,STALE,SKEWED,2,2,8,never,0,0,0.000,30.92,563,828,150010
part3q,WINNER,SKEWED,2,2,8,never,1,0,0.000,13.71,80,239,150022
part3q,WINNER,SKEWED,2,2,8,never,4,0,0.000,15.32,91,255,150046
part3q,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.74,91,248,150017
part3q,UNIFORM,SKEWED,3,2,8,never,0,0,0.000,6.39,39,132,150122
part3q,UNIFORM,SKEWED,4,2,8,never,0,0,0.000,4.20,24,80,149919
part3eps,WINNER,SKEWED,2,2,8,never,4,14384697,22.089,15.33,91,252,149983
part3eps,WINNER,SKEWED,2,2,8,16,4,14723399,22.020,14.97,90,249,149993
part3eps,WINNER,SKEWED,2,2,8,8,4,13660871,22.348,14.71,90,260,149929
part3eps,WINNER,SKEWED,2,2,8,4,4,13981084,22.851,14.38,94,257,149943
part3thr,UNIFORM,SKEWED,2,2,8,never,0,13641927,26.596,0.00,0,0,0
part3thr,STALE,SKEWED,2,2,8,never,0,13870976,24.996,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,never,4,14228153,22.080,0.00,0,0,0
part3thr,WINNER,SKEWED,2,2,8,8,4,14376149,22.411,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,never,0,14233059,24.498,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,64,0,14363121,24.480,0.00,0,0,0
part3sync,STALE,SKEWED,2,2,8,1,0,3601024,9.346,0.00,0,0,0
part3cq,UNIFORM,SKEWED,2,2,8,never,0,0,0.000,29.23,384,587,99958
part3cq,STALE,SKEWED,2,2,8,never,0,0,0.000,25.48,355,542,100019
part3cq,WINNER,SKEWED,2,2,8,8,4,0,0.000,14.28,86,214,99990
scale,StrictPQ,UNIFORM,0,0,1,0,0,22323399,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,1,never,0,15415651,0.000,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,2,0,0,11066254,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,2,never,0,7640675,16.805,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,4,0,0,13928178,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,4,never,0,10170311,23.620,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,8,0,0,13715214,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,8,never,0,14307882,26.661,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,16,0,0,13333248,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,16,never,0,25468060,28.167,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,32,0,0,13482183,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,32,never,0,53348053,27.965,0.00,0,0,0
scale,StrictPQ,UNIFORM,0,0,64,0,0,13389383,0.000,0.00,0,0,0
scale,MultiQueue,UNIFORM,2,2,64,never,0,54121259,26.699,0.00,0,0,0
